mismatch_type,link_id,in_links_index,in_link_to_paths,path_count,sample_path_ids,street_name_1,street_name_2,street_name_3,note
missing_in_link_to_paths,3256,1,0,0,,ALLEGHENY AVE,,,r
missing_in_link_to_paths,3257,1,0,0,,NORTH SHORE DR,,,r
missing_in_link_to_paths,3281,1,0,0,,,,,r
missing_in_link_to_paths,3333,1,0,0,,,,,r
missing_in_link_to_paths,3334,1,0,0,,BUTLER LOGAN RD,,,r
missing_in_link_to_paths,3335,1,0,0,,,,,r
missing_in_link_to_paths,3349,1,0,0,,GENERAL ROBINSON ST,,,r
missing_in_link_to_paths,3350,1,0,0,,TONY DORSETT DR,,,r
missing_in_link_to_paths,3351,1,0,0,,GENERAL ROBINSON ST,,,r
missing_in_link_to_paths,3364,1,0,0,,OLD WILLIAM PENN HWY,,,r
missing_in_link_to_paths,3365,1,0,0,,NEW WM PENN HWY,,,r
missing_in_link_to_paths,3382,1,0,0,,,,,r
missing_in_link_to_paths,3387,1,0,0,,MCCLAREN RD,,,r
missing_in_link_to_paths,3388,1,0,0,,,,,r
missing_in_link_to_paths,3389,1,0,0,,,,,r
missing_in_link_to_paths,3416,1,0,0,,,,,r
missing_in_link_to_paths,3417,1,0,0,,SR 0910 SH,,,r
missing_in_link_to_paths,3449,1,0,0,,LITTLE DEER CREEK RD,,,r
missing_in_link_to_paths,3452,1,0,0,,HOOKSTOWN GRADE RD,,,r
missing_in_link_to_paths,3529,1,0,0,,,,,r
missing_in_link_to_paths,3530,1,0,0,,WARRENDALE BAYNE RD,,,r
missing_in_link_to_paths,3531,1,0,0,,WARRENDALE BAYNE RD,,,r
missing_in_link_to_paths,3563,1,0,0,,,,,r
missing_in_link_to_paths,3572,1,0,0,,HORIZON DR,,,r
missing_in_link_to_paths,3579,1,0,0,,,,,r
missing_in_link_to_paths,3580,1,0,0,,WEST ALLEGHENY RD,,,r
missing_in_link_to_paths,3638,1,0,0,,LIBERTY AVE,,,r
missing_in_link_to_paths,3643,1,0,0,,LEECHBURG RD,,,r
missing_in_link_to_paths,3682,1,0,0,,STEUBENVILLE PKWY,,,r
missing_in_link_to_paths,3683,1,0,0,,STEUBENVILLE PKWY,,,r
missing_in_link_to_paths,3684,1,0,0,,STEUBENVILLE PKWY,,,r
missing_in_link_to_paths,3699,1,0,0,,WABASH TUNL,,,r
missing_in_link_to_paths,3708,1,0,0,,PITTSBURGH ST,,,r
missing_in_link_to_paths,3709,1,0,0,,,,,r
missing_in_link_to_paths,3710,1,0,0,,PITTSBURGH ST,,,r
missing_in_link_to_paths,3730,1,0,0,,,,,r
missing_in_link_to_paths,3759,1,0,0,,,,,r
missing_in_link_to_paths,3769,1,0,0,,,,,r
missing_in_link_to_paths,3788,1,0,0,,WARRENDALE BAYNE RD,,,r
missing_in_link_to_paths,3790,1,0,0,,BEECHWOOD BLVD,,,r
missing_in_link_to_paths,3814,1,0,0,,LINCOLN HWY,,,r
missing_in_link_to_paths,3815,1,0,0,,LINCOLN HWY,,,r
missing_in_link_to_paths,3821,1,0,0,,SEVENTH AVE,,,r
missing_in_link_to_paths,3834,1,0,0,,NORTH SHORE DR,,,r
missing_in_link_to_paths,3836,1,0,0,,GENERAL ROBINSON ST,,,r
missing_in_link_to_paths,3837,1,0,0,,GENERAL ROBINSON ST,,,r
missing_in_link_to_paths,3842,1,0,0,,BURGETTSTOWN RD,,,r
missing_in_link_to_paths,3857,1,0,0,,WASHINGTON PKWY,,,r
missing_in_link_to_paths,3861,1,0,0,,ALLEGHENY AVE,,,r
missing_in_link_to_paths,3863,1,0,0,,REEDSDALE ST,,,r
missing_in_link_to_paths,3887,1,0,0,,ALLEGHENY AVE,,,r
missing_in_link_to_paths,3920,1,0,0,,,,,r
missing_in_link_to_paths,3995,1,0,0,,NOBLESTOWN INT/RP H RD,,,r
missing_in_link_to_paths,4004,1,0,0,,ELEVENTH ST,,,r
missing_in_link_to_paths,4005,1,0,0,,,,,r
missing_in_link_to_paths,4018,1,0,0,,FREY RD,,,r
missing_in_link_to_paths,4022,1,0,0,,,,,r
missing_in_link_to_paths,4030,1,0,0,,,,,r
missing_in_link_to_paths,4042,1,0,0,,,,,r
missing_in_link_to_paths,4106,1,0,0,,LACOCK ST,,,r
missing_in_link_to_paths,4116,1,0,0,,MCKEE RD,,,r
missing_in_link_to_paths,4132,1,0,0,,RIVER RD,,,r
missing_in_link_to_paths,4188,1,0,0,,,,,r
missing_in_link_to_paths,4189,1,0,0,,LITTLE DEER CREEK RD,,,r
missing_in_link_to_paths,4190,1,0,0,,LITTLE DEER CREEK RD,,,r
missing_in_link_to_paths,4207,1,0,0,,,,,r
missing_in_link_to_paths,4217,1,0,0,,24TH ST,,,r
missing_in_link_to_paths,4218,1,0,0,,24TH ST,,,r
missing_in_link_to_paths,4237,1,0,0,,RAVINE ST,OCONNELL BLVD,,r
missing_in_link_to_paths,4247,1,0,0,,BUSINESS 376,EWING INT/RAMP B RD,HOOKSTOWN GRADE RD,r
missing_in_link_to_paths,4259,1,0,0,,BEAVER GRADE RD,,,r
missing_in_link_to_paths,4260,1,0,0,,BUSINESS 376,RAMP F RD,,r
missing_in_link_to_paths,4261,1,0,0,,,,,r
missing_in_link_to_paths,4277,1,0,0,,GENERAL ROBINSON ST,,,r
missing_in_link_to_paths,4281,1,0,0,,MCKEE RD,,,r
missing_in_link_to_paths,4324,1,0,0,,LITTLE DEER CREEK RD,,,r
missing_in_link_to_paths,4351,1,0,0,,CLINTON RD,,,r
missing_in_link_to_paths,4352,1,0,0,,THORN HILL RD,,,r
missing_in_link_to_paths,4353,1,0,0,,NORTH SHORE DR,,,r
missing_in_link_to_paths,4354,1,0,0,,NORTH SHORE DR,,,r
missing_in_link_to_paths,4355,1,0,0,,TONY DORSETT DR,,,r
missing_in_link_to_paths,4361,1,0,0,,,,,r
missing_in_link_to_paths,4364,1,0,0,,SR 65 SB TO REEDSDALE ST,REEDSDALE ST,,r
missing_in_link_to_paths,4369,1,0,0,,,,,r
missing_in_link_to_paths,4370,1,0,0,,SEVENTH AVE,,,r
missing_in_link_to_paths,4371,1,0,0,,FREEPORT RD,,,r
missing_in_link_to_paths,4376,1,0,0,,FORT PITT BLVD,,,r
missing_in_link_to_paths,4377,1,0,0,,WASHINGTON BLVD,,,r
missing_in_link_to_paths,4389,1,0,0,,GRANT ST,,,r
missing_in_link_to_paths,4395,1,0,0,,RAMP 10 RD,,,r
missing_in_link_to_paths,4412,1,0,0,,MIDDLE RD,,,r
missing_in_link_to_paths,4450,1,0,0,,MCCLAREN RD,,,r
missing_in_link_to_paths,4452,1,0,0,,BUSINESS 376,,,r
missing_in_link_to_paths,4460,1,0,0,,RAMP L RD,RAMP K RD,,r
missing_in_link_to_paths,4502,1,0,0,,GREENDALE AVE,,,r
missing_in_link_to_paths,4509,1,0,0,,FONTELLA ST,,,r
missing_in_link_to_paths,4510,1,0,0,,RAMP TO REEDSDALE ST,,,r
missing_in_link_to_paths,4511,1,0,0,,EWING INT/RAMP C RD,RESURRECTION RD,HOOKSTOWN GRADE RD,r
missing_in_link_to_paths,4515,1,0,0,,UNITY CENTER RD,,,r
missing_in_link_to_paths,4518,1,0,0,,WEST CARSON ST,,,r
missing_in_link_to_paths,4520,1,0,0,,WABASH TUNL,,,r
missing_in_link_to_paths,4556,1,0,0,,FLAUGHRTY RUN INT/RP K RD,,,r
missing_in_link_to_paths,4557,1,0,0,,FLAUGHRTY RUN INT/RP L RD,,,r
missing_in_link_to_paths,4656,1,0,0,,SOUTHERN BLWY,,,r
missing_in_link_to_paths,4664,1,0,0,,,,,r
